Time Slot,Room,Class
7:30-8:30,IS101,PMKS - 22CB430 - CSBS-4
7:30-8:30,IS002,VL - 22IS410 - ISE-4B
7:30-8:30,IS103,TSK - 22IS420 - ISE-4A
7:30-8:30,IS001,VBK - 20CB662 - CSBS-6
7:30-8:30,ISLAB1,No class scheduled
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,RJP - 22CB420 - CSBS-4
8:30-9:30,IS002,TM - 22IS450 - ISE-4B
8:30-9:30,IS103,No class scheduled
8:30-9:30,IS001,VHY - 20CB620 - CSBS-6
8:30-9:30,ISLAB1,No class scheduled
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,SU - 22HU412 - ISE-4B [PRE-ALLOTTED]
9:30-10:30,IS002,PMKS - 22CB430 - CSBS-4
9:30-10:30,IS103,No class scheduled
9:30-10:30,IS001,VHY - 20CB620 - CSBS-6
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,BREAK
10:30-11:00,IS002,BREAK
10:30-11:00,IS103,BREAK
10:30-11:00,IS001,BREAK
10:30-11:00,ISLAB1,BREAK
10:30-11:00,ISLAB2,BREAK
11:00-11:50,IS101,CSB - 20HU412 - CSBS-4 [PRE-ALLOTTED]
11:00-11:50,IS002,AHK - 22MA412 - ISE-4B [PRE-ALLOTTED]
11:00-11:50,IS103,No class scheduled
11:00-11:50,IS001,NC - 22CB220 - CSBS-2 [PRE-ALLOTTED]
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,PM - 22CB260 - CSBS-2 [PRE-ALLOTTED]
11:50-12:40,IS002,VL - 22IS410 - ISE-4B
11:50-12:40,IS103,No class scheduled
11:50-12:40,IS001,FELIX - 22CB460 - CSBS-4
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,LMS - 22CB250 - CSBS-2
12:40-13:30,IS002,RSA - 22IS430 - ISE-4B
12:40-13:30,IS103,No class scheduled
12:40-13:30,IS001,VBK - 22CB410 - CSBS-4
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,BREAK
13:30-14:30,IS002,BREAK
13:30-14:30,IS103,BREAK
13:30-14:30,IS001,BREAK
13:30-14:30,ISLAB1,BREAK
13:30-14:30,ISLAB2,BREAK
14:30-15:30,IS101,BREAK
14:30-15:30,IS002,BREAK
14:30-15:30,IS103,BREAK
14:30-15:30,IS001,BREAK
14:30-15:30,ISLAB1,BREAK
14:30-15:30,ISLAB2,BREAK
15:30-16:30,IS101,BREAK
15:30-16:30,IS002,BREAK
15:30-16:30,IS103,BREAK
15:30-16:30,IS001,BREAK
15:30-16:30,ISLAB1,BREAK
15:30-16:30,ISLAB2,BREAK
16:30-17:30,IS101,BREAK
16:30-17:30,IS002,BREAK
16:30-17:30,IS103,BREAK
16:30-17:30,IS001,BREAK
16:30-17:30,ISLAB1,BREAK
16:30-17:30,ISLAB2,BREAK
