Time Slot,Room,Class
7:30-8:30,IS101,NA -  22IS440 -  ISE-4B
7:30-8:30,IS102,PMKS -  22CB430 -  CSBS-4
7:30-8:30,IS103,VHY -  20CB620 -  CSBS-6
7:30-8:30,ISLAB1,No class scheduled
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,TSK -  22IS420 -  ISE-4B
8:30-9:30,IS102,PM -  20CB650 -  CSBS-6
8:30-9:30,IS103,CSB -  20HU412 -  CSBS-4
8:30-9:30,ISLAB1,No class scheduled
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,TM -  22IS450 -  ISE-4B
9:30-10:30,IS102,AHK -  22MA412 -  ISE-4A
9:30-10:30,IS103,RJP -  22CB420 -  CSBS-4
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
11:00-11:50,IS101,SP -  20CB630 -  CSBS-6
11:00-11:50,IS102,MN -  20IS620 -  ISE-6
11:00-11:50,IS103,RMN -  22CB240 -  CSBS-2
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,RSA -  22IS430 -  ISE-4B
11:50-12:40,IS102,SN -  20CB673 -  CSBS-6
11:50-12:40,IS103,NC -  22CB220 -  CSBS-2
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,RSA -  22IS430 -  ISE-4A
12:40-13:30,IS102,SN -  20CB673 -  CSBS-6
12:40-13:30,IS103,SG -  20IS642 -  ISE-6
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
14:30-15:30,IS101,MDL -  20HU612 -  CSBS-6
14:30-15:30,IS102,MPS -  22IS450 -  ISE-4A
14:30-15:30,IS103,VBK -  22CB410 -  CSBS-4
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,SN -  20CB673 -  CSBS-6
15:30-16:30,IS102,DSV -  22CB210 -  CSBS-2
15:30-16:30,IS103,MN -  20IS620 -  ISE-6
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,VBK -  20CB662 -  CSBS-6
16:30-17:30,IS102,LMS -  20IS610 -  ISE-6
16:30-17:30,IS103,MPS -  22IS450 -  ISE-4A
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
